net,length_um
net317,805.91
_11369_,774.235
net315,745.1
_10108_,725.71
_09704_,717.42
clknet_0_clk,706.96
_13805_,703.435
_09744_,701.66
_09667_,692.76
clk,691.94
_09626_,688.9
_09781_,679.43
_09453_,671.83
_01547_,671.4
genblk1.pcpi_mul.rs1\[30\],660.68
_09507_,654.82
clknet_2_3_0_clk,651.2
_11237_,644.84
clknet_2_0_0_clk,644.14
_09589_,632.88
clknet_2_1_0_clk,632.07
_09855_,626.11
_11161_,624.54
net161,615.24
net306,615.22
_09888_,609.34
_09966_,608.98
_11474_,606.355
_09821_,604.93
_09282_,601.82
net308,600.55
_11826_,598.06
_10040_,597.13
_10273_,584.66
_09414_,581.17
_10270_,576.24
clknet_2_2_0_clk,573.3
_08635_,569.25
_12070_,566.44
_09245_,563.58
_08918_,562.84
genblk1.pcpi_mul.rs1\[26\],554.8
_10331_,553.23
_10003_,551.04
_11447_,548.925
_09929_,545.74
net147,544.26
_12282_,540.255
_05255_,537.77
_00081_,535.93
_05789_,535.6
_05271_,533.34
_10077_,531.31
_08798_,530.07
_10893_,528.84
_09545_,527.95
_09205_,523.88
_05216_,521.88
_14009_,521.57
_09151_,519.34
_11157_,518.97
_09093_,518.68
_10279_,517.38
_11137_,512.78
_08934_,511.97
_05627_,510.76
_00079_,510.69
net137,508.63
_10214_,508.395
net326,507.88
_11892_,507.23
_08744_,507.2
net158,504.98
net151,504.5
_10378_,499.86
_09033_,497.93
net327,497.08
_10384_,496.94
_01583_,496.73
_12147_,496.58
_05205_,496.2
_08595_,495.48
_10958_,495.18
_10609_,493.105
_10663_,493.045
_09332_,492.54
_08618_,491.33
_05668_,491.17
_02001_,490.8
_10337_,489.17
_08865_,487.27
_10334_,486.68
_13292_,486.66
net145,484.76
_13128_,484.32
_09372_,480.75
_11353_,480.43
_10277_,480.37
_14223_,476.22
_10224_,474.46
_10392_,472.275
_11900_,470.23
net117,468.12
_05181_,467.72
_04961_,467.13
_10280_,466.99
net131,466.94
_10197_,465.695
_10104_,465.22
_05828_,465.08
_10389_,464.75
_08978_,464.34
genblk1.pcpi_mul.rs1\[32\],463.36
_05239_,462.59
net273,462.44
_12274_,461.41
_11773_,460.11
_10361_,458.74
_00089_,458.325
_12067_,457.81
_00088_,457.295
_10586_,457.29
net320,455.84
_05430_,455.7
_05190_,455.1
_10206_,454.48
_09060_,452.76
_02147_,452.26
_11382_,451.86
_08932_,451.7
_08098_,451.53
_06002_,451.33
_10367_,450.685
_11109_,448.55
_05164_,448.29
net99,448.25
_10246_,448.085
_13858_,447.435
_10895_,447.29
_05224_,447.2
net101,445.74
_11167_,445.5
net302,445.41
_12325_,445.13
net288,443.79
_11708_,443.28
_11666_,443.16
_05383_,442.48
net274,441.58
_10600_,441.34
_00093_,440.4
net276,440.36
_11590_,437.58
_10259_,435.93
net286,434.55
_12586_,434.195
net116,433.78
_10784_,432.96
_10311_,432.6
_06455_,429.43
_14565_,426.72
_10250_,426.56
_13738_,426.46
_05262_,425.98
net102,424.3
net279,424
_14007_,423.16
_10241_,422.36
_00090_,421.01
_05153_,420.94
_11819_,420.89
_13711_,420.68
_10344_,418.83
_10322_,418.75
_03609_,418.72
net293,417.43
net281,416.95
_05231_,416.46
_06726_,415.98
_00091_,415.55
_09118_,413.62
_04755_,412.99
_12546_,412.24
_08279_,411.57
_08427_,411.42
_07705_,411.4
_05750_,409.2
net138,409.1
_09289_,408.3
net148,406.96
_14045_,406.9
_09053_,406.46
_08707_,405.765
_09264_,405.755
_05059_,404.75
_05137_,404.54
genblk1.pcpi_mul.rd\[59\],404.54
_14042_,404.45
_00092_,404.305
_08309_,403.91
_05588_,403.28
_10187_,402.93
net106,402.7
_08484_,402.62
_09186_,402.13
_05247_,401.35
_08554_,401.14
_00078_,400.96
_00080_,400.295
_09158_,399.715
_05552_,399.17
net322,397.14
_10667_,396.76
net114,396.63
mem_rdata_q\[20\],396.5
_08593_,396.22
_09299_,396.21
_00094_,395.955
_05342_,395.4
net144,395.22
genblk1.pcpi_mul.rs1\[27\],394.74
_11825_,394.69
_09062_,394.49
_11135_,394.28
net149,393.44
_00097_,393.38
_04993_,393.335
_10397_,392.94
_11557_,392.12
_08714_,391.35
genblk1.pcpi_mul.rd\[60\],390.18
_08461_,390.01
_10611_,389.29
net159,388.92
_11262_,388.505
_10740_,387.83
_11269_,387.38
_12773_,387.34
_08505_,387.02
_05101_,386.77
_10738_,386.08
_13720_,385.58
_03633_,385.36
_13286_,384.65
_10341_,384.35
_12075_,383.93
net136,382.78
net103,382.51
_04756_,382.48
_08963_,382.385
_05423_,382.38
_12416_,381.86
_13281_,381.62
_08520_,381.54
_10372_,381.5
net319,381.27
_08436_,380.905
_12271_,379.97
genblk1.pcpi_mul.rd\[61\],379.36
_12229_,379.18
_00095_,378.78
_09018_,378.525
_08559_,378.06
_08343_,378.04
_11050_,377.925
_10264_,377.71
_13849_,377.44
_11241_,377.43
genblk1.pcpi_mul.rd\[62\],377.06
_12980_,376.97
net294,376.28
_08837_,375.28
_13820_,375.11
_08854_,373.36
_05068_,373.28
net280,372.9
_10158_,372.3
_10357_,371.025
_09339_,370.96
_08479_,370.66
_10354_,370.515
_08911_,370.04
_07473_,369.295
_11354_,369.17
_10157_,368.11
_07038_,367.68
_12690_,367.6
_13739_,367.18
_08921_,366.21
_12973_,366.08
_05145_,365.93
_00096_,365.765
_10584_,364.23
_11265_,364.07
_08975_,363.32
net313,363
_12538_,362.94
genblk1.pcpi_mul.rd\[63\],362.84
_11949_,361.98
_05424_,361.33
net282,360.11
_08413_,358.1
_13056_,357.96
_08967_,357.93
_10260_,357.155
_00099_,356.565
_07467_,356.555
_11277_,356.26
genblk1.pcpi_mul.rs1\[25\],356.08
_13632_,355.76
_08556_,355.64
genblk1.pcpi_mul.rd\[58\],355.42
_13961_,353.99
_08857_,353.86
_06456_,353.84
_13228_,353.165
net135,352.84
_08412_,352.8
_09066_,352.56
_08332_,352.15
_11297_,351.57
net105,350.82
_05172_,349.98
net109,349.92
genblk1.pcpi_mul.rs1\[24\],349.83
_08487_,349.56
_09420_,349.54
_12688_,349.48
mem_rdata_q\[18\],349.26
_10164_,349.07
_13484_,348.97
_07042_,348.96
_13614_,348.83
genblk1.pcpi_mul.rd\[57\],348.44
net53,348.4
net277,346.81
_08383_,346.67
_10651_,346.49
_13442_,346.425
_00085_,345.3
_08398_,345.16
_11834_,345.145
_05075_,345.14
_10163_,344.94
_08600_,344.75
_08586_,344.72
net104,344.68
_14510_,344.02
_00098_,343.845
_13741_,343.36
_11264_,342.93
_05684_,342.88
_11086_,342.38
_08608_,341.67
_08178_,341.04
_08717_,340.91
_08527_,340.86
_08917_,340.6
_09127_,340.56
net318,340.3
_12695_,339.98
net140,339.85
_08610_,339.78
net146,339.63
_08581_,339.47
_05128_,339.09
net134,338.54
_08569_,338.36
_12543_,337.02
_05198_,336.8
_08550_,336.79
_09254_,336.52
